"method","K","signal_prop","rho_est","power","fdp","rep"
"ORBIT_P",15,0.05,5.8778580899719e-05,0.978303747534517,0.0424710424710425,3
"DPM",16,0.05,NA,0.964497041420118,0,3
"ORBIT_P",16,0.05,4.82273068185615e-06,0.990138067061144,0.047438330170778,3
"DPM",17,0.05,NA,0.944773175542406,0,3
"ORBIT_P",17,0.05,0.000346028769472167,0.98422090729783,0.056710775047259,3
"DPM",18,0.05,NA,0.964497041420118,0,3
"ORBIT_P",18,0.05,0.000475230407307908,0.986193293885602,0.0458015267175573,3
"DPM",19,0.05,NA,0.958579881656805,0,3
"ORBIT_P",19,0.05,4.27487132039327e-05,0.982248520710059,0.0478011472275335,3
"DPM",20,0.05,NA,0.972386587771203,0,3
"ORBIT_P",20,0.05,-0.000274706383089925,0.998027613412229,0.0416666666666667,3
"DPM",2,0.1,NA,0.753012048192771,0.0335051546391753,3
"ORBIT_P",2,0.1,-0.0101250302709348,0.79718875502008,0.0456730769230769,3
"DPM",3,0.1,NA,0.842369477911647,0.0187134502923977,3
"ORBIT_P",3,0.1,-0.00508699297601001,0.891566265060241,0.0492505353319058,3
"DPM",4,0.1,NA,0.874497991967871,0.00910125142207053,3
"ORBIT_P",4,0.1,-0.00358568902076585,0.92570281124498,0.0494845360824742,3
"DPM",5,0.1,NA,0.919678714859438,0.00865800865800866,3
"ORBIT_P",5,0.1,-0.000110461352890592,0.95281124497992,0.0462311557788945,3
"DPM",6,0.1,NA,0.905622489959839,0.00879120879120879,3
"ORBIT_P",6,0.1,-0.00196980797332086,0.955823293172691,0.0460921843687375,3
"DPM",7,0.1,NA,0.933734939759036,0.00428265524625268,3
"ORBIT_P",7,0.1,-0.00208801945981013,0.97289156626506,0.0434353405725568,3
"DPM",8,0.1,NA,0.929718875502008,0.0043010752688172,3
"ORBIT_P",8,0.1,-0.0010097546734838,0.966867469879518,0.0408366533864542,3
"DPM",9,0.1,NA,0.942771084337349,0.00212539851222104,3
"ORBIT_P",9,0.1,-0.00108441142211384,0.974899598393574,0.0480392156862745,3
"DPM",10,0.1,NA,0.950803212851406,0.00105485232067511,3
"ORBIT_P",10,0.1,-0.000892938241527993,0.979919678714859,0.0450097847358121,3
"DPM",11,0.1,NA,0.936746987951807,0,3
"ORBIT_P",11,0.1,1.36571724803241e-05,0.977911646586345,0.0562015503875969,3
"DPM",12,0.1,NA,0.953815261044177,0,3
"ORBIT_P",12,0.1,-0.000684146128943187,0.986947791164659,0.0447035957240039,3
"DPM",13,0.1,NA,0.93574297188755,0,3
"ORBIT_P",13,0.1,-0.000686684395936216,0.975903614457831,0.0470588235294118,3
"DPM",14,0.1,NA,0.948795180722892,0,3
"ORBIT_P",14,0.1,-0.000772060624486267,0.985943775100402,0.0475266731328807,3
"DPM",15,0.1,NA,0.950803212851406,0,3
"ORBIT_P",15,0.1,-0.000991967145691141,0.986947791164659,0.0437743190661479,3
"DPM",16,0.1,NA,0.95281124497992,0,3
"ORBIT_P",16,0.1,-0.000986162746896823,0.986947791164659,0.0484027105517909,3
"DPM",17,0.1,NA,0.964859437751004,0,3
"ORBIT_P",17,0.1,-0.000463818169271394,0.98995983935743,0.0454985479186834,3
"DPM",18,0.1,NA,0.958835341365462,0,3
"ORBIT_P",18,0.1,-0.000729104600877309,0.988955823293173,0.0371456500488759,3
"DPM",19,0.1,NA,0.959839357429719,0,3
"ORBIT_P",19,0.1,-0.00106968610631449,0.990963855421687,0.0472972972972973,3
"DPM",20,0.1,NA,0.961847389558233,0,3
"ORBIT_P",20,0.1,-0.000934644055278573,0.995983935742972,0.0507177033492823,3
"DPM",2,0.2,NA,0.807901234567901,0.0209455415918612,3
"ORBIT_P",2,0.2,-0.0224426487956213,0.853827160493827,0.0415742793791574,3
